,X,rt,stimulus,key_press,ListLength,Trial_index,Phase,correct,ExperimentalPhase,Block,word1,word2,save,date,subject_id,trial_type,trial_index,time_elapsed,internal_node_id,response,cue,target,SequenceLength,sequence,letterSeen,queriedPosition,Stimulus_type,TrialType,timeMs,timeMin,score,correct_01,validTrials,validID,W2VWordPairsSim,SimBins,Error_type,W2VReponseCueSim,W2VReponseTargetSim,averageSimToCue,averageSimToTarget
0,150,4226.39999985695,<h1>sheath</h1><br><br><br> Please press space as soon as you recall the target.,32,30,1,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,329,643698,0.0-329.0,0,sheath,knife,,,,5,,,,,,0,True,False,0.735375776651981,4,Omission,999.0,999.0,0.26839731475804796,0.23172459787231778
1,152,10179.5999999046,<h1>earwig</h1><br><br><br> Please press space as soon as you recall the target.,32,30,2,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,333,657779,0.0-333.0,0,earwig,walnut,,,,7,,,,,,0,True,False,0.242173377562161,2,Omission,999.0,999.0,0.14809054260714968,0.21413873477339082
2,154,12688.5999999046,<h1>lamp</h1><br><br><br> Please press space as soon as you recall the target.,32,30,3,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,337,674193,0.0-337.0,head,lamp,candle,,,,22,,,,,,0,False,False,0.698749663319853,4,Intrusion,0.2202513467975047,0.15972137935822617,0.22328042950507182,0.25375398725723197
3,156,4736.5,<h1>sheet</h1><br><br><br> Please press space as soon as you recall the target.,32,30,4,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,341,682545,0.0-341.0,0,sheet,suit,,,,4,,,,,,0,True,False,0.153411380957624,1,Omission,999.0,999.0,0.17770283992594396,0.17420597165496007
4,158,8928.70000004768,<h1>bumper</h1><br><br><br> Please press space as soon as you recall the target.,32,30,5,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,345,695160,0.0-345.0,car,bumper,tank,,,,17,,,,,,0,False,False,0.337314081016891,2,Intrusion,0.5452532939087595,0.34006133072333394,0.20607245542681213,0.16366068833276273
5,160,11717.4000000954,<h1>moth</h1><br><br><br> Please press space as soon as you recall the target.,32,30,6,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,349,710716,0.0-349.0,0,moth,fungus,,,,9,,,,,,0,True,False,0.421186232744235,3,Omission,999.0,999.0,0.16159187394124067,0.18728818065014674
6,162,10255.3000001907,<h1>girl</h1><br><br><br> Please press space as soon as you recall the target.,32,30,7,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,353,723826,0.0-353.0,0,girl,chick,,,,18,,,,,,0,False,False,0.624724496623479,4,Omission,999.0,999.0,0.16215048904843657,0.22875811271904176
7,164,6208.89999985695,<h1>tape</h1><br><br><br> Please press space as soon as you recall the target.,32,30,8,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,357,732984,0.0-357.0,earwig,tape,wire,,,,27,,,,,,0,False,False,0.501096990479819,3,Intrusion,0.056054631305640805,0.09515731687362965,0.18072026412219838,0.2286892179617451
8,166,8186.20000004768,<h1>teabag</h1><br><br><br> Please press space as soon as you recall the target.,32,30,9,CuePresentation,False,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,361,745676,0.0-361.0,0,teabag,coffee,,,,2,,,,,,0,True,False,0.806588166583034,5,Omission,999.0,999.0,0.19929622089777368,0.21507288602254077
9,168,2250.0,<h1>knee</h1><br><br><br> Please press space as soon as you recall the target.,32,30,10,CuePresentation,True,True,1,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,365,750911,0.0-365.0,wrist,knee,wrist,,,,6,,,,,,1,False,False,0.669356171840164,4,Correct,999.0,999.0,0.12564742406865098,0.19218423908375226
10,260,3266.29999995232,<h1>parrot</h1><br><br><br> Please press space as soon as you recall the target.,32,10,1,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,537,1073987,0.0-537.0,turtle,parrot,turtle,,,,8,,,,,,1,False,False,0.65206421477411,4,Correct,999.0,999.0,0.2619045999960425,0.2302299194748968
11,262,2069.79999995232,<h1>thumb</h1><br><br><br> Please press space as soon as you recall the target.,32,10,2,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,541,1082692,0.0-541.0,anklet,thumb,anklet,,,,6,,,,,,1,False,False,0.47748479244258,3,Correct,999.0,999.0,0.24144026959534082,0.10600126919454698
12,264,2798.79999995232,<h1>prune</h1><br><br><br> Please press space as soon as you recall the target.,32,10,3,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,545,1088947,0.0-545.0,thorn,prune,thorn,,,,3,,,,,,1,False,False,0.999999978936332,5,Correct,999.0,999.0,0.3303261291247245,0.2931220263574129
13,266,2188.09999990463,<h1>eraser</h1><br><br><br> Please press space as soon as you recall the target.,32,10,4,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,549,1094741,0.0-549.0,mirror,eraser,mirror,,,,4,,,,,,1,True,False,0.240063744300811,2,Correct,999.0,999.0,0.05104926415318476,0.16532499066065964
14,268,2054.70000004768,<h1>dough</h1><br><br><br> Please press space as soon as you recall the target.,32,10,5,CuePresentation,True,True,2,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,553,1102076,0.0-553.0,tomato,dough,tomato,,,,7,,,,,,1,True,False,0.445283558369461,3,Correct,999.0,999.0,0.25505249433510374,0.23840009749568564
