"subject_id","rt","responses","question_order","date","type","Phase","time_elapsed","internal_node_id","response","key_press","ListLength","Trial_index","correct","Block","word1","word2","Context","ContextLabel","Context_position","ContextSize","NoneListType","cue","target","SequenceLength","sequence","letterSeen","queriedPosition","correct_01","Gender","Age","Cheated_pairs","Cheated_letters","validity_rt","validity","RoughContextSize","Error_type"
"0p3k92ho3rvaqpe",2.05739999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",554943,"0.0-258.0","tailor",32,20,1,"TRUE",1,NA,NA,"./images/jobs.jpg","jobs","center","16","lowSimList","valet","tailor",NA,NA,NA,18,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",3.737,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",563598,"0.0-262.0","poet",32,20,2,"TRUE",1,NA,NA,"./images/jobs.jpg","jobs","center","16","lowSimList","envoy","poet",NA,NA,NA,14,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",2.56410000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",572087,"0.0-266.0","skunk",32,20,3,"TRUE",1,NA,NA,"./images/animals.jpg","animals","center","4","lowSimList","goose","skunk",NA,NA,NA,13,1,"male",35,FALSE,FALSE,TRUE,TRUE,"1_small","Correct"
"0p3k92ho3rvaqpe",4.6895,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",580254,"0.0-270.0","diver",32,20,4,"TRUE",1,NA,NA,"./images/jobs.jpg","jobs","center","16","lowSimList","teller","diver",NA,NA,NA,2,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",3.32339999997616,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",587127,"0.0-274.0","coach",32,20,5,"TRUE",1,NA,NA,"./images/jobs.jpg","jobs","center","16","lowSimList","actor","coach",NA,NA,NA,20,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",11.7873000000715,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",604142,"0.0-278.0","porter",32,20,6,"TRUE",1,NA,NA,"./images/jobs.jpg","jobs","center","16","lowSimList","editor","porter",NA,NA,NA,10,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",8.81109999990463,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",617175,"0.0-282.0","coyote",32,20,7,"TRUE",1,NA,NA,"./images/animals.jpg","animals","center","4","lowSimList","rabbit","coyote",NA,NA,NA,15,1,"male",35,FALSE,FALSE,TRUE,TRUE,"1_small","Correct"
"0p3k92ho3rvaqpe",2.93810000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",626374,"0.0-286.0","agent",32,20,8,"TRUE",1,NA,NA,"./images/jobs.jpg","jobs","center","16","lowSimList","judge","agent",NA,NA,NA,9,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",1.49820000004768,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",631231,"0.0-290.0","doctor",32,20,9,"TRUE",1,NA,NA,"./images/jobs.jpg","jobs","center","16","lowSimList","monk","doctor",NA,NA,NA,19,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
"0p3k92ho3rvaqpe",8.27510000002384,NA,NA,"21_5_2024_9_51_40",NA,"CuePresentation",644584,"0.0-294.0","teache",32,20,10,"TRUE",1,NA,NA,"./images/jobs.jpg","jobs","center","16","lowSimList","scout","teacher",NA,NA,NA,8,1,"male",35,FALSE,FALSE,TRUE,TRUE,"3_large","Correct"
