"word1","word2","meanSim","sd","count"
"ankle","dagger",18.55,19.4028619701213,20
"anklet","thumb",26.9,23.7196343275266,20
"badger","acorn",30.8421052631579,24.9805772504576,19
"barrel","crane",20.1052631578947,18.3572411896115,19
"bear","grass",31.1052631578947,18.3208889183968,19
"beard","puck",10.8235294117647,9.15993513976523,17
"bedpan","cherry",6.58333333333333,6.52907251290625,12
"berry","pear",69.9130434782609,21.3177541105109,23
"bikini","bison",10.5384615384615,18.0398419459788,13
"binder","weed",13.2222222222222,14.7191574069728,18
"bird","crow",86.25,12.2936297867364,16
"blimp","taco",6.0625,6.70789336031316,16
"blind","switch",30.5454545454545,22.77995625383,22
"blouse","skirt",74.1818181818182,19.0253419512932,11
"blower","faucet",28.8823529411765,23.8455508243707,17
"bolt","towel",15.4090909090909,14.8055944732263,22
"bonnet","scoop",14.8636363636364,12.7402453984942,22
"bonsai","tulip",64.8333333333333,17.3038794038864,12
"bowtie","wolf",6.0625,9.27698765763974,16
"branch","train",23.45,18.4575615655852,20
"buckle","zipper",77.9444444444444,19.5040635953646,18
"cactus","moose",14.1428571428571,14.5224343310996,14
"cake","scone",75.3125,24.5430743795475,16
"candle","lamp",76.3076923076923,13.3814835711181,13
"cannon","garlic",9.16666666666667,9.61157390551498,18
"cape","chime",11.15,10.8737975741785,20
"cart","buggy",83.9333333333333,10.5048741521439,15
"cello","violin",91.2307692307692,9.73099726093414,13
"chest","dial",18.6923076923077,8.33051234303364,13
"chick","girl",68.2941176470588,25.148967935788,17
"chili","clove",65.2307692307692,23.6119808789022,13
"chin","neck",82.1538461538462,13.6982124980242,13
"chip","tablet",40.6521739130435,31.1807176657337,23
"chips","potato",93.1111111111111,9.56641729537663,18
"chisel","spool",36.5555555555556,21.8352416468831,9
"cigar","flask",28.2857142857143,25.3971314465686,21
"clay","tick",8.47058823529412,16.6174518468492,17
"cloak","chalk",10.4444444444444,10.1588687548902,18
"closet","camper",29.0555555555556,26.8185015641029,18
"coat","boar",24.2222222222222,26.9434168660603,18
"cocoon","yogurt",8.55555555555556,8.84654949166604,18
"cookie","cereal",66.9285714285714,18.820873378387,14
"coyote","cobra",56.8666666666667,22.0741175739069,15
"crank","pulley",66.7619047619048,29.4684657929536,21
"crepe","lens",12.6,16.001315735375,20
"crutch","camel",13.75,14.0819967184681,20
"daisy","riser",11.0833333333333,8.8804458694696,24
"desk","toilet",22.3,18.7113812818211,20
"domino","statue",19.3333333333333,16.9003901850164,24
"drain","sink",79.5833333333333,19.033264342071,12
"eagle","hawk",84.6875,20.1087667448802,16
"earwig","walnut",18.8,24.0037034179682,10
"eraser","mirror",16.421052631579,20.336928068783,19
"file","folder",86.3125,19.8115075986996,16
"filter","vacuum",54.8,17.8533710302244,15
"flag","banner",82.8235294117647,10.2544825205715,17
"flower","orchid",83.4285714285714,20.5527998680857,14
"fudge","rifle",8.5,9.78744694223467,18
"fungus","moth",32.7,27.6502593496926,20
"game","pepper",9.5,7.96373358617545,20
"globe","coal",18.8235294117647,15.0591969163268,17
"goose","duck",86.12,18.171222670292,25
"gravy","grits",62.3333333333333,29.4998715970498,12
"grill","monkey",12.5555555555556,10.4781128870232,18
"hanger","lime",8,9.45750730607407,19
"heater","tripod",14.5,12.4081238896756,14
"helmet","visor",77,19.8863437229338,16
