words,category,average_similarity,simWordCategory,FrequencyPosition
bacon,ControlHighSim,0.6082645090096697,0.0,4335
taco,ControlHighSim,0.5758172116518392,0.0,8314
dough,ControlHighSim,0.5291251896086573,0.0,4532
veal,ControlHighSim,0.5415825437895143,0.0,12476
kraut,ControlHighSim,0.6596688035554586,0.0,19033
turkeys,ControlHighSim,0.5504272323542767,0.0,17245
delicacy,ControlHighSim,0.5731702806885338,0.0,15547
pies,ControlHighSim,0.5641086147108648,0.0,8991
salsa,ControlHighSim,0.6110340207176348,0.0,11697
pastries,ControlHighSim,0.6079133774953959,0.0,17892
pasta,ControlHighSim,0.6530393964603729,0.0,6588
mayo,ControlHighSim,0.6032451437829143,0.0,13634
recipe,ControlHighSim,0.5589875105149091,0.0,5275
leftover,ControlHighSim,0.5130072949788768,0.0,15227
avocado,ControlHighSim,0.5640348438256115,0.0,19134
meatball,ControlHighSim,0.5883185564278095,0.0,15184
chicken,ControlHighSim,0.6121430502391983,0.0,1223
muffins,ControlHighSim,0.6571191300853999,0.0,12492
macaroni,ControlHighSim,0.6530393964603731,0.0,14478
yogurt,ControlHighSim,0.5790714338282826,0.0,9109
burgers,ControlHighSim,0.5883185564278095,0.0,8485
ketchup,ControlHighSim,0.6032451437829143,0.0,9169
pear,ControlHighSim,0.5724914493561529,0.0,13342
salad,ControlHighSim,0.6127726287483732,0.0,3353
biscuit,ControlHighSim,0.6181353445590266,0.0,9248
bagel,ControlHighSim,0.6283116100953346,0.0,13221
nutter,ControlHighSim,0.56763881285882,0.0,19869
brownies,ControlHighSim,0.5816559567101661,0.0,13895
dessert,ControlHighSim,0.6169640341934484,0.0,4022
salami,ControlHighSim,0.6596688035554586,0.0,15371
pizza,ControlHighSim,0.5668537061868757,0.0,2093
nachos,ControlHighSim,0.5883185564278095,0.0,17480
meatloaf,ControlHighSim,0.6596688035554586,0.0,17513
gravy,ControlHighSim,0.5974051311955432,0.0,9024
pudding,ControlHighSim,0.5658690570668589,0.0,6102
tofu,ControlHighSim,0.6030870547083821,0.0,12454
cucumber,ControlHighSim,0.5594260944076366,0.0,12879
pastry,ControlHighSim,0.5693594527828353,0.0,10101
cheddar,ControlHighSim,0.6245887020992534,0.0,19351
peanut,ControlHighSim,0.5062057367804065,0.0,5708
meat,ControlHighSim,0.5451682396016877,0.0,1502
porridge,ControlHighSim,0.5658690570668589,0.0,12172
oatmeal,ControlHighSim,0.5790714338282826,0.0,14016
pancake,ControlHighSim,0.6571191300853999,0.0,11117
noodles,ControlHighSim,0.6030870547083821,0.0,6286
bolo,ControlHighSim,0.552639657927958,0.0,18087
sausage,ControlHighSim,0.6596688035554586,0.0,5162
cobbler,ControlHighSim,0.5257027110916137,0.0,17786
truffles,ControlHighSim,0.581655956710166,0.0,19277
dumpling,ControlHighSim,0.5658690570668589,0.0,18791
donuts,ControlHighSim,0.6571191300853999,0.0,11596
nature,ControlLowSim,0.17036608530943606,0.0,1320
oven,ControlLowSim,0.10513252860288037,0.0,4815
player,ControlLowSim,0.13053910981815206,0.0,2005
exam,ControlLowSim,0.10210020173424098,0.0,3371
movie,ControlLowSim,0.08591279395350926,0.0,766
army,ControlLowSim,0.08911407706829404,0.0,836
paper,ControlLowSim,0.1595260275094942,0.0,881
month,ControlLowSim,0.11811340160201031,0.0,783
disk,ControlLowSim,0.13540152066393835,0.0,9241
road,ControlLowSim,0.13465440696264833,0.0,683
office,ControlLowSim,0.14394021361531883,0.0,493
dealer,ControlLowSim,0.12803241657274592,0.0,3323
message,ControlLowSim,0.15475595761615973,0.0,812
alcohol,ControlLowSim,0.11063311359007431,0.0,2576
hair,ControlLowSim,0.11965031646236798,0.0,612
ladder,ControlLowSim,0.1381567545573279,0.0,4832
bedroom,ControlLowSim,0.1212471985739721,0.0,1964
diamond,ControlLowSim,0.15324897345368824,0.0,2940
list,ControlLowSim,0.1405187050809151,0.0,921
name,ControlLowSim,0.09453072975218439,0.0,188
mouse,ControlLowSim,0.1520193490788117,0.0,3360
plan,ControlLowSim,0.16726854366804686,0.0,558
profit,ControlLowSim,0.1460075306913303,0.0,3869
couple,ControlLowSim,0.15699299402600916,0.0,500
spot,ControlLowSim,0.16511997500372963,0.0,1193
trouble,ControlLowSim,0.17239547996698823,0.0,484
mark,ControlLowSim,0.15487712397634273,0.0,888
suit,ControlLowSim,0.1362001476093516,0.0,1214
pace,ControlLowSim,0.13153973445721678,0.0,5155
make,ControlLowSim,0.1577274320509306,0.0,113
long,ControlLowSim,0.14707130270740018,0.0,181
mobile,ControlLowSim,0.15278525713374153,0.0,2909
split,ControlLowSim,0.10706778776290182,0.0,1744
kneepad,ControlLowSim,0.0,0.0,None
purse,ControlLowSim,0.1409568016756866,0.0,3130
turbine,ControlLowSim,0.14294826181141168,0.0,24613
fossil,ControlLowSim,0.12119072424825582,0.0,10538
mullet,ControlLowSim,0.1498894660475491,0.0,24967
bonsai,ControlLowSim,0.11488892986769894,0.0,36443
globe,ControlLowSim,0.12167839404362876,0.0,6566
bison,animal,0.4774885937255137,0.40858083765646896,18640
camel,animal,0.3767821120180054,0.41544771952186815,7565
bear,animal,0.33801473679803024,0.36976549745997483,1076
cheetah,animal,0.5856840313659574,0.46049299850441905,13788
cobra,animal,0.5594020973342934,0.41662400373497926,9783
coyote,animal,0.5385738217836054,0.43268685963112513,10250
wolf,animal,0.5385738217836054,0.43268685963112513,2360
dolphin,animal,0.4416791449295189,0.3708484375268405,9661
donkey,animal,0.5211667472546522,0.4334973483693324,5379
eagle,animal,0.4634764876096554,0.2536652121626447,4084
ferret,animal,0.5959062457412282,0.416687582425792,17617
gecko,animal,0.5353301236108531,0.35157117134439586,25532
gibbon,animal,0.16879376903363263,0.03209665786889119,39613
goose,animal,0.4027135280879605,0.2701896446425171,4966
horse,animal,0.3767821120180054,0.41544771952186815,868
jaguar,animal,0.5856840313659574,0.46049299850441905,13115
koala,animal,0.5856840313659574,0.46049299850441905,22785
lemur,animal,0.5959062457412282,0.416687582425792,26592
lion,animal,0.4555217381432563,0.3376504946870742,2888
lizard,animal,0.5353301236108532,0.35157117134439586,7711
llama,animal,0.4554329818145555,0.4262041117053789,24926
macaw,animal,0.4675949817353945,0.3192297524554116,None
mole,animal,0.33361695116268497,0.27139144183776925,5337
monkey,animal,0.5211667472546522,0.4334973483693324,2220
moose,animal,0.507862011831162,0.4806331297487174,8359
otter,animal,0.46914748858121724,0.45627725401470887,18978
panda,animal,0.5856840313659574,0.46049299850441905,8546
parrot,animal,0.5282051806103345,0.5178147465813449,7655
pigeon,animal,0.45999817428037937,0.29595325874116724,6698
rabbit,animal,0.518780826474378,0.4733323034502689,3081
raccoon,animal,0.5959062457412283,0.416687582425792,13420
salmon,animal,0.3315135016737275,0.3492440144537813,6203
seal,animal,0.22355744302009428,0.16517796657442607,3121
shark,animal,0.45064208277340667,0.4604889411314807,3642
sheep,animal,0.4120290999204982,0.49760829348053626,3063
skunk,animal,0.5959062457412283,0.416687582425792,11368
sloth,animal,0.5959062457412283,0.416687582425792,22088
snail,animal,0.35451846144226973,0.2743930896796636,13753
spider,animal,0.45158543180881383,0.3957916211931963,4299
squid,animal,0.3313678959869966,0.2698566408796606,10163
swan,animal,0.5612831558713443,0.3570356188925131,6818
tiger,animal,0.5856840313659574,0.46049299850441905,2692
toad,animal,0.5479363839652656,0.33140346097345214,8356
trout,animal,0.37691607462674837,0.31394038821163434,10303
turtle,animal,0.5399638412965831,0.405764761757757,4457
viper,animal,0.5594020973342934,0.41662400373497926,12420
frog,animal,0.5479363839652656,0.33140346097345214,4890
weasel,animal,0.5612831558713443,0.3570356188925131,9650
whale,animal,0.44167914492951876,0.3708484375268405,4929
zebra,animal,0.5856840313659574,0.46049299850441905,12534
aqua,color,0.21789827730104494,0.23952632537326254,18835
beige,color,0.49576079883475843,0.5648777811919887,17570
black,color,0.4284049457450345,0.5766371127844875,548
blue,color,0.5361226535099912,0.6175672687886218,802
blush,color,0.3932638463704509,0.5099496658752231,11844
bronze,color,0.2708682410890309,0.24177732788919215,9202
brown,color,0.5185694936845978,0.6008609515402995,1601
coral,color,0.35466031795297703,0.37690194397279636,9246
crimson,color,0.5995778120112759,0.6630472735788607,15036
cyan,color,0.5995778120112759,0.6630472735788607,None
gold,color,0.371315621453227,0.29938051321126186,885
gray,color,0.48318467611490384,0.6035237502499508,3349
green,color,0.5126774419957074,0.5851061161936846,1022
indigo,color,0.21378278466010958,0.30724983183625826,25292
ivory,color,0.44918007756636935,0.36930658402426203,11999
jade,color,0.4416331381930796,0.3498541493090919,6315
khaki,color,0.27366450951545146,0.2805632714355433,29334
lavender,color,0.46119721939072594,0.4912911696268268,13345
lemon,color,0.3683355658406704,0.3031571554961061,3884
lilac,color,0.5589316454620202,0.5683622373357254,24499
lime,color,0.36388346901392976,0.3147710136984198,9138
magenta,color,0.5995778120112759,0.6630472735788607,31460
maroon,color,0.5995778120112759,0.6630472735788607,22380
mauve,color,0.5589316454620202,0.5683622373357254,37964
mint,color,0.36685229905131234,0.3053425305799826,7311
navy,color,0.23286956627121314,0.20654911089433292,2811
olive,color,0.36085904553131865,0.309597604880542,6154
orange,color,0.5536168693514913,0.6508234986828916,2953
peach,color,0.4177877694226559,0.43493908543747084,7268
pearl,color,0.4491800775663694,0.36930658402426203,4419
pink,color,0.5589316454620202,0.5683622373357254,2678
plum,color,0.38442538078472255,0.36512242136730877,10181
purple,color,0.5995778120112759,0.6630472735788607,4649
rose,color,0.2518661140591193,0.18757156979781123,1406
ruby,color,0.4491800775663694,0.36930658402426203,4377
rust,color,0.30029722882629095,0.3565149538720745,12105
sable,color,0.19307697157536888,0.43334429230398464,22355
sand,color,0.31760791418311785,0.2804953284931768,2646
sapphire,color,0.3643154246419909,0.36780172661012384,18558
scarlet,color,0.5995778120112759,0.6630472735788607,10380
silver,color,0.41179322294672954,0.3688665358291558,1966
teal,color,0.5589316454620202,0.5683622373357254,11063
violet,color,0.5995778120112759,0.6630472735788607,5769
white,color,0.4653411036066927,0.6144934090709753,573
yellow,color,0.5429264708727246,0.6352277577686952,2123
sepia,color,0.381249661176161,0.6904771958495152,None
chile,country,0.11651073735799926,0.23244771146057533,11441
china,country,0.22707706168458763,0.205150925815143,2015
cyprus,country,0.33753716303756437,0.343363662184759,18595
egypt,country,0.35623404378286516,0.4361085824827288,4695
england,country,0.28926446848470655,0.4925331664567438,1685
ghana,country,0.28220435426991436,0.4139144348517959,34835
india,country,0.28220435426991436,0.4139144348517959,2169
italy,country,0.3357801667550239,0.4844260751930931,2920
japan,country,0.22707706168458763,0.205150925815143,2390
jordan,country,0.13966948720918884,0.07893084096488157,3001
kenya,country,0.28220435426991436,0.4139144348517959,13227
kuwait,country,0.3251119777849387,0.3612659830390322,20393
latvia,country,0.2774641729075904,0.3019416239693385,37413
liberia,country,0.3293317221759648,0.6079795959158829,39393
malta,country,0.042821799936846774,0.08179327869381445,24496
mexico,country,0.2817410340930676,0.4081320787577308,2496
nepal,country,0.3032469333300687,0.3992806913895562,20239
niger,country,0.3013983695927877,0.3205557335222893,39671
oman,country,0.17906366097641754,0.24089706116213364,40590
qatar,country,0.2844674180110401,0.33090823150295007,48505
russia,country,0.3391439973452421,0.5634580780153085,3110
samoa,country,0.19754696502516883,0.24346587843854048,41589
senegal,country,0.35357580030032454,0.4290283697935819,35100
serbia,country,0.33416567190745705,0.44570928045948766,17020
sierra,country,0.1582159077727596,0.21724009870526376,9432
spain,country,0.23234651633678297,0.2821101447776076,3239
sudan,country,0.3449077832437685,0.41490899431164247,16573
sweden,country,0.3239056765633197,0.43655663173064885,7117
syria,country,0.3255793373076357,0.48758666333888,10939
togo,country,-0.01495782299488384,-0.08774242282428726,35543
tonga,country,0.020569308962988544,0.053747039262889165,35816
tunisia,country,0.3546433924804752,0.377136509860793,23075
uganda,country,0.3709024724984721,0.47573621386340914,22386
yemen,country,0.20747629816491833,0.3925097357956116,21608
zambia,country,0.3572971517806396,0.40443653147879727,40841
angola,country,0.33149666868939065,0.34325149786456205,25967
germany,country,0.33921389413222064,0.5583621813815297,2323
bhutan,country,0.2630636702595691,0.33466603379839277,42397
brazil,country,0.3013983695927877,0.3205557335222893,5057
canada,country,0.23234651633678297,0.2821101447776076,3920
congo,country,0.2794974896913876,0.2910206215177374,13960
fiji,country,0.3013983695927877,0.3205557335222893,21512
france,country,0.3523939848246409,0.5671989950916395,1660
gambia,country,0.0,0.0,None
greece,country,0.34666351917157284,0.47838540094598087,6655
guinea,country,0.07240902772978405,0.09782661989546795,7782
israel,country,0.2997762156535566,0.4953253938889081,4901
malawi,country,0.33272554927348963,0.3995054595392953,47771
norway,country,0.3257896901974559,0.41790006931745705,9007
poland,country,0.3590359290911505,0.5322709108339134,6401
chair,furniture,0.3219733718776183,0.4098375899448495,1589
table,furniture,0.3601444418348044,0.5031568040444968,815
couch,furniture,0.37658305528456787,0.34390446571598143,2822
stool,furniture,0.36662792232434027,0.4210181059833925,9375
bench,furniture,0.28367707408013854,0.2885201004986981,4761
